boundary_id,source_phase,category,severity,status,evidence_metric,evidence_value,threshold_or_context,interpretation,public_claim_effect,recommended_action
FB-001,External branch,data_availability,CRITICAL,HOLD,external_validation_status,HOLD_NON_SPARC_COMPONENT_CURVE_TABLE_NOT_AVAILABLE,non-SPARC radius-resolved component-curve table unavailable,Full external residual-level validation remains unavailable.,No external-validation claim.,Keep external branch reopenable only if usable non-SPARC component curves arrive.
FB-002,Phase 4AB,shape_zone_alignment,MEDIUM,CAUTION,phase4b_adjusted_rand_index,0.097191,low ARI means shape clusters do not strongly reproduce seven-zone map,DCRRA zones are not simple residual-shape clusters.,Do not describe zones as direct shape-template classes.,"Use shape audit as one diagnostic layer, not the full classification basis."
FB-003,Phase 4AB,shape_low_dimensionality,LOW,INFORMATIVE,phase4b_PC1_PC2_explained_variance_sum,0.947676,low-dimensional residual-shape structure exists but does not equal zone taxonomy,"Residual-shape structure is real enough to audit, but not sufficient as taxonomy.",Permit internal diagnostic shape-language only.,Carry into synthesis as diagnostic support with taxonomy caution.
FB-004,Phase 5,overflex_null_absorption,HIGH,CAUTION,AIC_overflex_winner_fraction,0.860140,Phase 5 expanded comparator audit under AIC,Over-flexible null absorbs residual structure in many galaxies.,No physical model-selection winner claim.,Require fairness/complexity-penalty reporting whenever comparator wins are discussed.
FB-005,Phase 5R,complexity_penalty_sensitivity,HIGH,CAUTION,AIC/AICc/BIC overflex fractions,"{""aic"": 0.8601398601398601, ""aicc"": 0.46853146853146854, ""bic"": 0.6783216783216783}",overflex dominance changes under AICc/BIC,Overflex dominance is penalty-sensitive; AIC-only conclusions are unsafe.,Do not treat AIC comparator dominance as physical evidence.,"Report AIC, AICc, and BIC sensitivity together."
FB-006,Phase 6,proxy_systematics_sensitivity,HIGH,SUPPORTED_BOUNDARY,strong_proxy_split_association_count,5,proxy_count_tested=14,Comparator and regime behavior is associated with observational / baryonic proxies.,Avoid causal physical classification language.,"Stratify by n_points, velocity scale, and residual-shape error in downstream summaries."
FB-007,Phase 6,high_risk_candidates,MEDIUM,CAUTION,high_risk_candidate_count_score_ge_4,27,failure-boundary score >= 4,A nontrivial subset carries elevated failure-boundary risk.,Do not hide high-risk cases when reporting population-level structure.,Preserve high-risk ledgers and examples in repository.
FB-008,Phase 7,holdout_robustness_boundary,LOW,SUPPORTED_WITH_CAUTION,stable_holdout_fraction,1.000000,evaluated_holdout_count=32,"Frozen holdouts are stable, but boundary cautions remain for restricted subsets and leaveout shifts.",Internal robustness may be stated only within SPARC protocol.,Keep holdout qualifier in abstract/conclusion.
FB-009,Phase 8,injection_recovery_limitation,CRITICAL,FAIL_OR_NULL_LOCKED,balanced_accuracy,0.566434,guards=2/6,Synthetic injection-recovery is not sufficiently supported by frozen rules.,Do not present DCRRA zones as strong classifiers.,Treat injection-recovery failure as a central no-go boundary.
FB-010,Phase 8,weak_injection_class,HIGH,CAUTION,min_recovery_by_type:HALO_LIKE,0.333333,weakest synthetic class under frozen recovery,HALO_LIKE is weakly recovered under the tested protocol.,Do not infer stable physical-like template separability.,Carry weak-class details into failure-boundary examples.
FB-011,Phase 8,noise_sensitivity,HIGH,CAUTION,high_noise_recovery_rate,0.403263,synthetic high-noise condition,Recovery degrades materially under high-noise injections.,Avoid general stable-classifier claims.,Report noise-stratified recovery in any synthesis paper.
FB-012,Phase 8R,separability_limitation,CRITICAL,FAIL_OR_NULL_LOCKED,best_full_coverage_balanced_accuracy,0.566434,physical_like_mean_recall=0.432984; pathology_nuisance_mean_recall=0.833333,Separability limitation persists after diagnostic repair audit.,DCRRA is not a physical-category classifier.,Lock separability limitation in claim boundary and future manuscript reader guidance.
FB-013,Phase 8R,top_confusion_pair,HIGH,CAUTION,top_offdiagonal_pair,RAR_LIKE->HALO_LIKE count=130 fraction=0.303030,largest off-diagonal confusion in synthetic separability audit,Physical-like / comparator-like adjacent types remain confusable.,Do not use synthetic results to promote response/halo/RAR/mixed labels into physical classes.,Use pairwise confusion table as no-go evidence.
FB-015,Phase 0-3,preexisting_failure_boundary_ledger,LOW,CARRIED_FORWARD,prior_failure_boundary_rows,348,legacy / Phase0-3 failure-boundary ledger carried forward,Earlier boundary notes remain part of v3.0.0 ledger.,Do not overwrite earlier caveats when integrating new phases.,Retain version-aware provenance.
